,name,rcode,code,total_amt,deliver_amt,area,technical,funds,message,trade,basic,total_num,point_num,dt
388,潍柴重机,000880.SZ,880,3050910500,1493241800,通用设备,7.2,5.3,6.3,6.9,6.2,31.9,73,2018/4/9
389,德威新材,300325.SZ,300325,5609231700,4411242600,化工合成材料,2.2,3.2,4.4,6.3,5.2,21.3,73,2018/4/9
390,苏宁环球,000718.SZ,718,16842232000,12704567900,房地产开发,5.1,4.8,5.5,6.3,6.2,27.9,73,2018/4/9
391,苏 泊 尔,002032.SZ,2032,29738824000,19761357000,白色家电,7.8,7.3,6.1,5.8,6.8,33.8,73,2018/4/9
392,天壕环境,300332.SZ,300332,7546409300,5301095100,燃气水务,8.2,4.3,5.8,6.4,4.9,29.6,73,2018/4/9
393,正虹科技,000702.SZ,702,2341051600,2341051600,农产品加工,3.3,3.5,6,8,6.2,27,73,2018/4/9
394,恒立实业,000622.SZ,622,2500328900,2500328900,汽车零部件,5.8,4.5,4.9,5.7,4.3,25.2,73,2018/4/9
395,赛象科技,002337.SZ,2337,3466946800,3397832200,专用设备,1.8,3.2,1.6,7,5,18.6,73,2018/4/9
396,泸州老窖,000568.SZ,568,78666364000,78639407000,饮料制造,7.8,6.9,9.9,6.8,6.5,37.9,73,2018/4/9
397,华东医药,000963.SZ,963,46865732000,41852064000,医药商业,7.7,5.3,6.4,8.1,6.8,34.3,73,2018/4/9
