rcode	    名称	现价	总市值	流通市值	所属行业
600057	象屿股份	11.14	13042482500	12303054000	物流
000821	京山轻机	12.8	6114977700	4419056400	专用设备
600155	宝硕股份	14.4	25049616000	5940000000	证券
000966	长源电力	4.81	5330846400	5330846400	电力
603228	景旺电子	47.41	19343280000	2275680000	半导体及元件
002603	以岭药业	16.96	20430450000	15463805000	中药
000407	胜利股份	8.13	7155088300	5416130900	燃气水务
300633	开立医疗	22.06	8824220600	882620600	医疗器械服务
000701	厦门信达	13.89	5647855300	5248952500	半导体及元件
000669	金鸿能源	18.04	8767553400	8632610500	燃气水务
600691	阳煤化工	3.28	5762261100	5760962200	化学制品
300527	华舟应急	17.43	8468104100	2499092300	专用设备
000513	丽珠集团	49.8	27550922000	15446464000	化学制药
000971	高升控股	17.55	8972852900	4278443600	计算机应用
600250	南纺股份	14.22	3678606800	3678606800	贸易
000028	国药一致	76.99	32961496000	23693238000	医药商业
600098	广州发展	7.54	20555522000	20555522000	电力
002713	东易日盛	20.27	5143566300	1285611410	建筑装饰
002543	万和电气	21.21	9332400000	7137401500	白色家电
300121	阳谷华泰	15.34	4436634800	4182407300	化工合成材料
600621	华鑫股份	11.09	11765373100	5812073300	房地产开发
600805	悦达投资	7.68	6534869700	6522265000	纺织制造
600071	凤凰光学	22.25	5283762100	5283762100	光学光电子
000617	中油资本	17.12	1.54595E+11	4922671100	通用设备
603167	渤海轮渡	11.99	5771986000	5771986000	港口航运
002098	浔兴股份	13.78	4933240000	4271800000	纺织制造
600744	华银电力	5.17	9208412500	4278869900	电力
600997	开滦股份	7.04	11178111000	8691865600	煤炭开采
603358	华达科技	46.75	7480000000	1870000000	汽车零部件
603601	再升科技	15.95	6159112600	3403144000	化工新材料
300207	欣旺达	12.43	16058472000	14522738000	电子制造
000582	北部湾港	11.6	14387009000	3052832300	港口航运
002163	中航三鑫	8.06	6476613000	6474678600	建筑材料
600482	中国动力	26.88	46749451000	24431325000	汽车零部件
600011	华能国际	7.17	1.08987E+11	75285000000	电力
002523	天桥起重	5.41	5474304800	4237170800	专用设备
000897	津滨发展	4.52	7310070500	7309944100	房地产开发
601226	华电重工	6.35	7334250000	2571750000	建筑装饰
601689	拓普集团	29.05	21136134000	4958835000	汽车零部件
002300	太阳电缆	10.96	5947992000	5947565300	电气设备
300066	三川智慧	5.51	5730583300	5229208600	仪器仪表
600327	大东方	8.28	4696137400	4696137400	零售
002571	*ST德力	7.38	2892596200	1867629700	家用轻工
000999	华润三九	28.6	27996540000	27982106000	中药
001979	招商蛇口	19.39	1.5326E+11	36829936000	房地产开发
002772	众兴菌业	12.94	4830899300	2093360500	种植业与林业
002468	申通快递	26.84	41086730000	8904867800	物流
601008	连云港	6.48	6578593900	6578593900	港口航运
600814	杭州解百	10.19	7286122700	3162803000	零售
603337	杰克股份	39.98	8262666600	2065766600	专用设备
601991	大唐发电	4.65	61891675000	46473774000	电力
000721	西安饮食	7.46	3722957200	3251107300	酒店及餐饮
600501	航天晨光	14.93	6289764100	6074772100	专用设备
300336	新文化	16.85	9057685000	7638269200	传媒
002218	拓日新能	4.72	5835534700	5736244000	电气设备
601199	江南水务	6.61	6181714800	6181714800	燃气水务
002262	恩华药业	14.18	14309705000	12222169100	化学制药
600382	广东明珠	14.32	6684930300	4893811300	通用设备
000967	盈峰环境	9.59	10483134700	7136331900	电气设备
300259	新天科技	10.56	5643158200	2719012100	仪器仪表
000727	华东科技	2.88	13045152900	7034263600	光学光电子
600688	上海石化	6.75	72900000000	49308750000	基础化学
000717	韶钢松山	5.81	14057437000	14057437000	钢铁
000338	潍柴动力	6.81	54461195000	29411875000	汽车零部件
300681	英搏尔	47.7	3606120000	901530000	电气设备
002677	浙江美大	14.72	9507237300	4121600000	白色家电
002298	中电鑫龙	10.84	7630933600	4255643500	计算机应用
002639	雪人股份	8.93	6019469800	3914412200	通用设备
603069	海汽集团	11.91	3763560000	2069958000	公交
002470	金正大	7.97	25105732000	21672723000	化学制品
603788	宁波高发	42.05	6911043600	2060281800	汽车零部件
600178	东安动力	9.05	4181824000	4181824000	汽车零部件
002395	双象股份	16.1	2878776600	2878617800	化工合成材料
600969	郴电国际	15.17	4009761300	4009761300	电力
600717	天津港	13.17	22056709000	22056709000	港口航运
